_id,startTime,endTime,instrument,instrument_id,ins_id_ex
65868f78f30b23a817da9e25,2016-05-10,2016-11-10,AG,AG1612,ag1612
65868f78f30b23a817da9e26,2016-11-11,2017-05-10,AG,AG1706,ag1706
65868f78f30b23a817da9e27,2017-05-11,2017-11-21,AG,AG1712,ag1712
65868f78f30b23a817da9e28,2017-11-22,2018-05-03,AG,AG1806,ag1806
65868f78f30b23a817da9e29,2018-05-04,2018-11-02,AG,AG1812,ag1812
65868f78f30b23a817da9e2a,2018-11-05,2019-05-08,AG,AG1906,ag1906
65868f78f30b23a817da9e2b,2019-05-09,2019-11-13,AG,AG1912,ag1912
65868f78f30b23a817da9e2c,2019-11-14,2019-12-25,AG,AG2002,ag2002
65868f78f30b23a817da9e2d,2019-12-26,2020-05-08,AG,AG2006,ag2006
65868f78f30b23a817da9e2e,2020-05-11,2020-11-25,AG,AG2012,ag2012
65868f78f30b23a817da9e2f,2020-11-26,2021-01-05,AG,AG2102,ag2102
65868f78f30b23a817da9e30,2021-01-06,2021-05-19,AG,AG2106,ag2106
65868f78f30b23a817da9e31,2021-05-20,2021-11-24,AG,AG2112,ag2112
65868f78f30b23a817da9e32,2021-11-25,2022-05-20,AG,AG2206,ag2206
65868f78f30b23a817da9e33,2022-05-23,2022-11-25,AG,AG2212,ag2212
65868f78f30b23a817da9e34,2022-11-28,2022-12-23,AG,AG2302,ag2302
65868f78f30b23a817da9e35,2022-12-26,2023-05-15,AG,AG2306,ag2306
65868f78f30b23a817da9e36,2023-05-16,2023-07-04,AG,AG2308,ag2308
65868f78f30b23a817da9e37,2023-07-14,2023-09-15,AG,AG2312,ag2312
65868f78f30b23a817da9e38,2023-07-05,2023-07-13,AG,AG2310,ag2310
65868f78f30b23a817da9e39,2023-09-18,2024-01-08,AG,AG2402,ag2402
65868f78f30b23a817da9e3a,2010-01-04,2010-01-26,AL,AL1004,al1004
65868f78f30b23a817da9e3b,2010-01-27,2010-03-05,AL,AL1005,al1005
65868f78f30b23a817da9e3c,2010-03-08,2010-04-09,AL,AL1006,al1006
65868f78f30b23a817da9e3d,2010-04-12,2010-05-17,AL,AL1007,al1007
65868f78f30b23a817da9e3e,2010-05-18,2010-06-07,AL,AL1008,al1008
65868f78f30b23a817da9e3f,2010-06-08,2010-07-16,AL,AL1009,al1009
65868f78f30b23a817da9e40,2010-07-19,2010-08-04,AL,AL1010,al1010
65868f78f30b23a817da9e41,2010-08-05,2010-09-01,AL,AL1011,al1011
65868f78f30b23a817da9e42,2010-09-02,2010-10-11,AL,AL1012,al1012
65868f78f30b23a817da9e43,2010-10-12,2010-11-05,AL,AL1101,al1101
65868f78f30b23a817da9e44,2010-11-08,2010-12-07,AL,AL1102,al1102
65868f78f30b23a817da9e45,2010-12-08,2011-01-12,AL,AL1103,al1103
65868f78f30b23a817da9e46,2011-01-13,2011-02-21,AL,AL1104,al1104
65868f78f30b23a817da9e47,2011-02-22,2011-03-31,AL,AL1105,al1105
65868f78f30b23a817da9e48,2011-04-01,2011-05-03,AL,AL1106,al1106
65868f78f30b23a817da9e49,2011-05-04,2011-06-07,AL,AL1107,al1107
65868f78f30b23a817da9e4a,2011-06-08,2011-07-01,AL,AL1108,al1108
65868f78f30b23a817da9e4b,2011-07-04,2011-07-20,AL,AL1109,al1109
65868f78f30b23a817da9e4c,2011-07-21,2011-08-19,AL,AL1110,al1110
65868f78f30b23a817da9e4d,2011-08-22,2011-09-23,AL,AL1111,al1111
65868f78f30b23a817da9e4e,2011-09-26,2011-10-27,AL,AL1112,al1112
65868f78f30b23a817da9e4f,2011-10-28,2011-11-22,AL,AL1201,al1201
65868f78f30b23a817da9e50,2011-11-23,2011-12-15,AL,AL1202,al1202
65868f78f30b23a817da9e51,2011-12-16,2012-01-11,AL,AL1203,al1203
65868f78f30b23a817da9e52,2012-01-12,2012-02-13,AL,AL1204,al1204
65868f78f30b23a817da9e53,2012-02-14,2012-03-29,AL,AL1205,al1205
65868f78f30b23a817da9e54,2012-03-30,2012-04-16,AL,AL1206,al1206
65868f78f30b23a817da9e55,2012-04-17,2012-05-03,AL,AL1207,al1207
65868f78f30b23a817da9e56,2012-05-04,2012-05-28,AL,AL1208,al1208
65868f78f30b23a817da9e57,2012-05-29,2012-06-26,AL,AL1209,al1209
65868f78f30b23a817da9e58,2012-06-27,2012-08-01,AL,AL1210,al1210
65868f78f30b23a817da9e59,2012-08-02,2012-09-10,AL,AL1211,al1211
65868f78f30b23a817da9e5a,2012-09-11,2012-11-13,AL,AL1212,al1212
65868f78f30b23a817da9e5b,2012-11-14,2012-12-14,AL,AL1301,al1301
65868f78f30b23a817da9e5c,2012-12-17,2013-02-04,AL,AL1303,al1303
65868f78f30b23a817da9e5d,2013-02-05,2013-03-07,AL,AL1305,al1305
65868f78f30b23a817da9e5e,2013-03-08,2013-05-06,AL,AL1306,al1306
65868f78f30b23a817da9e5f,2013-05-07,2013-06-05,AL,AL1308,al1308
65868f78f30b23a817da9e60,2013-06-06,2013-06-18,AL,AL1309,al1309
65868f78f30b23a817da9e61,2013-06-19,2013-08-19,AL,AL1310,al1310
65868f78f30b23a817da9e62,2013-08-20,2013-08-27,AL,AL1311,al1311
65868f78f30b23a817da9e63,2013-08-28,2013-10-28,AL,AL1312,al1312
65868f78f30b23a817da9e64,2013-10-29,2013-11-26,AL,AL1401,al1401
65868f78f30b23a817da9e65,2013-11-27,2013-12-16,AL,AL1402,al1402
65868f78f30b23a817da9e66,2013-12-17,2014-01-08,AL,AL1403,al1403
65868f78f30b23a817da9e67,2014-01-09,2014-02-26,AL,AL1404,al1404
65868f78f30b23a817da9e68,2014-02-27,2014-03-11,AL,AL1405,al1405
65868f78f30b23a817da9e69,2014-03-12,2014-04-24,AL,AL1406,al1406
65868f78f30b23a817da9e6a,2014-04-25,2014-05-23,AL,AL1407,al1407
